MGT_type,Clades,Lineages,Continents_70%,Source,Temporal,Outbreak,MDR_MGT-ST
MGT4_CC13,Clade B,Global epidemic MGT4_CC13,,,,,
MGT4_CC30,Clade B,Europe MGT4_CC30,,,,,
MGT4_CC485,Clade B,Global epidemic MGT4_CC1,,,,,
MGT4_CC69,Clade B,Global epidemic MGT4_CC1,,,,,
MGT4_ST10,,,,,,,
MGT4_ST100,,,Europe,,,Large scale Outbreak,
MGT4_ST1005,,,North America,,,,
MGT4_ST1009,,,North America,,,,
MGT4_ST101,,,North America,,,,
MGT4_ST1010,,,North America,,,,
MGT4_ST106,,,,,,,
MGT4_ST107,,,Africa,,,,
MGT4_ST1078,,,North America,,,,
MGT4_ST1096,,,Europe,,,,
MGT4_ST11,,,Africa,,,,MGT4_ST11
MGT4_ST1104,,,Europe,,,,
MGT4_ST1122,,,North America,,,,
MGT4_ST1141,,,North America,,,,
MGT4_ST1146,,,,,,,MGT4_ST1146
MGT4_ST1155,,,North America,,,,
MGT4_ST1156,,,North America,,,,
MGT4_ST1240,,,Europe,,,,
MGT4_ST1247,,,South America,,,,
MGT4_ST1275,,,Europe,,,,
MGT4_ST129,,,North America,,,,
MGT4_ST13,,,Europe,,,Large scale Outbreak,
MGT4_ST1306,,,North America,,,,
MGT4_ST135,,,North America,Avain; Human,,,
MGT4_ST1352,,,North America,,,,
MGT4_ST136,,,North America,Avain; Human,,,
MGT4_ST1369,,,Europe,,,,
MGT4_ST138,,,,,,,
MGT4_ST1401,,,Europe,,,,
MGT4_ST1419,,,,,,,MGT4_ST1419
MGT4_ST1425,,,Europe,,,,
MGT4_ST1427,,,Europe,,,,
MGT4_ST1436,,,North America,,,,
MGT4_ST144,,,North America,,,,
MGT4_ST1444,,,,,,,MGT4_ST1444
MGT4_ST1452,,,,,,,
MGT4_ST148,,,North America,,,,
MGT4_ST15,,,Global,,,,
MGT4_ST150,,,North America,,,,
MGT4_ST154,,,North America,,,,
MGT4_ST1599,,,Europe,,,,
MGT4_ST16,,,Africa,,,,
MGT4_ST160,,,North America,,,,
MGT4_ST161,,,North America,,,,
MGT4_ST1619,,,Europe,,,,
MGT4_ST1620,,,Europe,,,,
MGT4_ST1623,,,Europe,,,,
MGT4_ST163,,,,,,Large scale Outbreak,
MGT4_ST1630,,,,,,,
MGT4_ST166,,,North America,,,,
MGT4_ST167,,,North America,,,,
MGT4_ST17,,,Europe,,,Large scale Outbreak,
MGT4_ST171,,,,,,Large scale Outbreak,
MGT4_ST1718,,,,,,,
MGT4_ST173,,,North America,,,,
MGT4_ST1742,,,,,,,
MGT4_ST175,,,North America,,,,
MGT4_ST180,,,North America,,,,
MGT4_ST1800,,,North America,,,,
MGT4_ST1808,,,North America,,,,
MGT4_ST1828,,,North America,,,,
MGT4_ST183,,,North America,,,,
MGT4_ST1848,,,North America,,,,
MGT4_ST1894,,,North America,,,,
MGT4_ST1908,,,,,,,
MGT4_ST1936,,,North America,,,,
MGT4_ST194,,,North America,,,,
MGT4_ST198,,,North America,,,,
